text,emotion,bias/distortion,context,feedback/insight,behavioral_recommendation,progress_tracking,motivation,perception,habit,social_influence,attention,memory,trust,past_experience,decision_making,adaptive_behavior,identity,situational_trigger,cultural,text_clean,text_length,word_count,polarity,subjectivity,TextBlob_Analysis,cogdist_keyword_count,neg_emotion_word_count,tfidf_always,tfidf_never,tfidf_cant,tfidf_im,tfidf_feel,tfidf_everyone,tfidf_nothing,tfidf_must,tfidf_job,tfidf_family,tfidf_relationship,tfidf_think,tfidf_work,tfidf_career,tfidf_need,tfidf_should,date,big5_openness,big5_conscientiousness,big5_extraversion,big5_agreeableness,big5_neuroticism,quirk_cluster,peer_group,detected_distortions,distortion_count
"""I've been sober for three years today. The journey hasn't been linear, but each challenge has taught me something valuable about myself. I'm proud of the life I've rebuilt and the person I've become.""",joy,none,recovery,Recognition of significant recovery achievement and personal growth,Continue strengthening support systems while mentoring others in early recovery,Clear recovery milestone,Health and authenticity motivation,Positive recovery self-perception,Established sobriety maintenance,Supportive recovery community,Focused reflection on growth journey,Creation of recovery achievement memory,Increased trust in personal resilience,Integration of recovery lessons,Recovery-supporting decision-making,Successful adaptation to sobriety,Recovery identity established,Sobriety anniversary situation,Personal transformation valued,ive sober three year today journey hasnt linear challenge taught something valuable im proud life ive rebuilt person ive become,127,20,0.45,0.6,Positive,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-11,0,0,0,0,0,0,0,['overgeneralization'],1
"""My partner and I had another argument about household responsibilities. It always follows the same pattern - I ask for help, they promise to do better, nothing changes, and we argue again. This relationship is exhausting and hopeless.""",anger,"labeling, overgeneralization",relationship,Relationship conflict pattern with global negative attribution,Request specific couple's communication session with clear agreements and consequences,Relationship pattern challenge,Equity motivation,Negatively biased relationship perception,Direct communication attempt,Interpersonal conflict pattern,Focus on relationship violations,Selective recall of broken promises,Diminished trust in relationship improvement,Similar past relationship conflicts,Relationship decisions influenced by frustration,Difficulty adapting to relationship patterns,Equal partner identity threatened,Household responsibility situation,Relationship equity valued,partner another argument household responsibility always follows pattern ask help promise better nothing change argue relationship exhausting hopeless,150,18,0.04999999999999999,0.5,Positive,2,1,0.5521791860555469,0.0,0.0,0.0,0.0,0.0,0.6406600350443469,0.0,0.0,0.0,0.5335286927467068,0.0,0.0,0.0,0.0,0.0,2024-01-12,0,0,0,0,0,2,0,['catastrophizing'],1
"""I'm finding it hard to focus on work since reading about that global crisis. I keep checking news updates and feeling helpless. The situation is devastating, and nothing I do makes any difference.""",sadness,"magnification, helplessness",current events,News consumption affecting emotional wellbeing,Set specific time limits for news consumption while identifying one concrete action to help,Media consumption challenge,Empathy and helplessness motivation,Overwhelmed world perception,News checking pattern,Media exposure influence,Focus on global suffering,Creation of distressing news memory,Concern about global systems,Similar past news impact experiences,Attention decisions affected by global events,Difficulty maintaining perspective on global issues,Global citizen identity strain,News consumption situation,Social responsibility valued,im finding hard focus work since reading global crisis keep checking news update feeling helpless situation devastating nothing make difference,143,20,-0.4305555555555556,0.5138888888888888,Negative,1,0,0.0,0.0,0.0,0.33341334717360555,0.0,0.0,0.763030152971516,0.0,0.0,0.0,0.0,0.0,0.553733262124245,0.0,0.0,0.0,2024-01-13,0,0,0,0,0,4,0,['none detected'],0
"""I submitted my artwork to a local exhibition and it was selected! I've been painting privately for years, never feeling quite ready to share my work. This acceptance has given me confidence to pursue more public opportunities.""",hope,none,creative,Recognition of courage in sharing creative work,Continue regular creative practice while seeking additional balanced exhibition opportunities,Creative development milestone,Creative expression motivation,Positive artistic self-perception,Consistent creative practice,Positive artistic validation,Focused creative development,Creation of artistic achievement memory,Increased trust in creative sharing,Learning from creative vulnerability,Art-promoting decision-making,Successful creative confidence building,Artist identity strengthening,Art submission acceptance,Creative expression valued,submitted artwork local exhibition selected ive painting privately year never feeling quite ready share work acceptance given confidence pursue public opportunity,162,21,0.05,0.23541666666666666,Positive,1,0,0.0,0.6944332110538571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7195571661691855,0.0,0.0,0.0,2024-01-14,0,0,0,0,0,0,0,['catastrophizing'],1
"""I caught myself catastrophizing about that minor mistake at work today. Instead of spiraling into worst-case scenarios, I reminded myself of my overall good performance and focused on solutions. This cognitive reframing technique is becoming more natural with practice.""",neutral,none,self-awareness,Recognition of thought pattern interruption and reframing,Continue practicing thought awareness while developing additional cognitive strategies,Cognitive skill development,Mental wellbeing motivation,Balanced work perception,Improving thought management,Independent of workplace pressure,Improved recognition of thought patterns,,Increased trust in self-regulation,Learning from thought pattern recognition,Improved cognitive processing,Successful adaptation to workplace stress,Self-aware identity strengthening,Workplace error situation,Psychological flexibility valued,caught catastrophizing minor mistake work today instead spiraling worstcase scenario reminded overall good performance focused solution cognitive reframing technique becoming natural practice,191,22,0.24,0.41000000000000003,Positive,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-01-15,0,0,0,0,0,2,0,"['overgeneralization', 'catastrophizing']",2
"""I missed my fitness goals again this month. I keep making excuses about being too busy or too tired. The truth is I'm lazy and undisciplined when it comes to exercise, unlike my naturally athletic friends.""",shame,"labeling, social comparison",fitness,Self-criticism about fitness consistency,Start with just 10 minutes of daily movement without comparison to others,Fitness development challenge,Decreased health motivation,Negative physical self-perception,Inconsistent exercise pattern,Strong external comparison influence,Focus on perceived inadequacy,Selective recall of missed workouts,Diminished trust in fitness consistency,Similar past fitness attempts,Health decisions influenced by discouragement,Difficulty establishing exercise routine,Fitness identity undeveloped,Exercise avoidance situation,Physical achievement valued,missed fitness goal month keep making excuse busy tired truth im lazy undisciplined come exercise unlike naturally athletic friend,130,19,-0.10000000000000002,0.48999999999999994,Negative,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-16,0,1,1,0,0,1,0,['overgeneralization'],1
"""My grandmother's health is deteriorating rapidly, and the doctors say she likely has only months left. I'm devastated knowing our time together is limited, but also grateful for our close relationship and the wisdom she's shared throughout my life.""",sadness,none,family,Appropriate grief with gratitude elements about family loss,Focus on quality time and memory creation while accepting grief process,Family transition period,Connection motivation,Balanced loss perception,Family prioritization,Strong family bond,Focused attention on present relationship,Creation of meaningful final memories,Deep family trust,Integration of grandparent relationship,Family-focused decision-making,Adaptive grief processing,Grandchild identity transition,Family illness situation,Family connection valued,grandmother health deteriorating rapidly doctor say likely month left im devastated knowing time together limited also grateful close relationship wisdom shes shared throughout life,181,24,-0.023809523809523808,0.38095238095238093,Negative,0,0,0.0,0.0,0.0,0.464625691921882,0.0,0.0,0.0,0.0,0.0,0.0,0.8855071803244241,0.0,0.0,0.0,0.0,0.0,2024-01-17,0,0,0,0,0,1,0,['none detected'],0
"""I'm delighted with the results of my sustainable lifestyle changes over the past year. By making small, consistent adjustments like reducing plastic use and composting, I've decreased my household waste by nearly 70%.""",joy,none,environment,Recognition of successful habit building for environmental impact,Continue refining sustainable practices while sharing knowledge with interested others,Clear environmental progress,Environmental stewardship motivation,Positive impact perception,Consistent sustainability habits,Independent of social comparison,Attention to environmental impact,Creation of positive change memory,Increased trust in personal impact,Learning from sustainability journey,Value-based decision-making,Successful adaptation to sustainability,Environmental steward identity,Sustainable living situation,Environmental responsibility valued,im delighted result sustainable lifestyle change past year making small consistent adjustment like reducing plastic use composting ive decreased household waste nearly,167,22,-0.007142857142857153,0.3857142857142857,Negative,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-18,0,0,0,0,0,0,0,['overgeneralization'],1
"""Every time I try to advance in this video game, I hit the same difficult level and fail. I've tried dozens of times and can't get past it. I'm obviously terrible at gaming and should just give up.""",shame,"labeling, all-or-nothing thinking",leisure,Self-criticism about gaming skill,Break challenge into smaller skill components while taking breaks when frustrated,Skill development challenge,Decreased recreation motivation,Negative gaming self-perception,Persistent attempt pattern,Gaming skill comparison,Focus on repeated failure,Selective recall of game challenges,Diminished trust in gaming ability,Similar past gaming challenges,Recreation decisions influenced by frustration,Difficulty adapting gaming approach,Gamer identity questioned,Gaming challenge situation,Gaming achievement valued,every time try advance video game hit difficult level fail ive tried dozen time cant get past im obviously terrible gaming give,127,22,-0.53,0.5900000000000001,Negative,0,0,0.0,0.0,0.8636046590220341,0.5041696072904794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-19,0,0,0,0,0,0,0,['overgeneralization'],1
"""I noticed I've been avoiding texts from my friend who's going through a difficult time. I feel guilty about not being more supportive, but her constant crises are emotionally draining, and I'm already overwhelmed with my own responsibilities.""",neutral,none,friendship,Recognition of relationship boundary needs and capacity,Establish sustainable contact schedule while being honest about current capacity,Friendship boundary development,Compassion and self-care motivation,Balanced friendship capacity perception,Friend support approach,Friendship expectation strain,Attention to personal energy limits,,Recalibration of friendship expectations,Learning from support overextension,Boundary-setting decision-making,Adaptive relationship approach,Supportive but boundaried friend identity,Friend crisis situation,Friendship loyalty valued,noticed ive avoiding text friend who going difficult time feel guilty supportive constant crisis emotionally draining im already overwhelmed responsibility,155,20,-0.1,0.7966666666666666,Negative,0,1,0.0,0.0,0.0,0.6295837149077079,0.7769326521153619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-20,0,0,1,0,0,0,0,['overgeneralization'],1
"""I was passed over for the team lead position despite having the most experience. My younger colleague who got the role is clearly friends with the manager. Age discrimination is rampant in this industry, and experience means nothing anymore.""",anger,"mind reading, overgeneralization",career,Workplace disappointment expanded to systemic attribution,Request specific feedback about selection criteria while assessing alternative advancement paths,Professional setback period,Justice motivation,Negatively biased workplace perception,Direct inquiry approach,Perceived workplace favoritism,Focus on perceived injustice,Selective recall of experience without recognition,Diminished trust in organizational fairness,Similar past promotion disappointments,Career decisions influenced by disappointment,Difficulty accepting leadership decisions,Experienced professional identity threatened,Promotion decision situation,Workplace meritocracy expectation,passed team lead position despite experience younger colleague got role clearly friend manager age discrimination rampant industry experience mean nothing anymore,162,21,-0.07083333333333335,0.35694444444444445,Negative,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-21,0,0,1,1,0,2,2,['none detected'],0
"""After months of writer's block, I finally completed the first draft of my short story. It's rough and needs editing, but breaking through that creative barrier feels like a significant victory.""",hope,none,creative,Recognition of creative persistence and breakthrough,Schedule regular writing sessions while celebrating incremental progress,Creative development progress,Creative expression motivation,Positive creative process perception,Renewed writing practice,Independent of creative comparison,Focused creative attention,Creation of creative breakthrough memory,Increased trust in creative process,Learning from creative block,Creative process decision-making,Successful adaptation to creative challenges,Writer identity strengthening,Creative breakthrough situation,Creative persistence valued,month writer block finally completed first draft short story rough need editing breaking creative barrier feel like significant victory,135,19,0.1708333333333333,0.6513888888888889,Positive,0,0,0.0,0.0,0.0,0.0,0.5095181381539866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86045991591247,0.0,2024-01-22,1,0,0,0,0,3,0,['overgeneralization'],1
"""I can't believe I got passed over for promotion again. It's the third time this year. My manager clearly has favorites, and I'll never advance in this company no matter how hard I work.""",anger,"overgeneralization, fortune telling",career,Frustration about perceived workplace unfairness,Schedule a feedback meeting with manager to discuss specific advancement criteria,Career advancement challenge,Justice-seeking motivation,Negatively biased workplace perception,Persistent work ethic despite setbacks,Perceived workplace inequality,Focus on perceived injustice,Selective recall of past rejections,Diminished trust in organizational fairness,Similar past experiences reinforcing negative view,Career decisions influenced by frustration,Rigid response to career setbacks,Professional identity threatened,Promotion decision situation,Workplace meritocracy expectation,cant believe got passed promotion third time year manager clearly favorite ill never advance company matter hard work,117,18,-0.07291666666666667,0.6354166666666666,Negative,1,0,0.0,0.5576432962741287,0.5959529725249123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5778183180371192,0.0,0.0,0.0,2024-01-23,0,0,0,0,0,2,0,['catastrophizing'],1
"""I've been meditating consistently for two months now. Initially it was difficult to sit still for even five minutes, but now I can maintain focus for twenty minutes and feel much calmer throughout my day.""",neutral,none,wellbeing,Recognition of mindfulness skill development,Continue daily practice while gradually increasing duration,Clear mindfulness progress,Mental wellbeing motivation,Improved attention perception,Established meditation routine,Independent of social validation,Improved attentional control,,Increased trust in self-regulation,Learning from past inconsistency,Wellbeing-promoting decision-making,Successful mental adaptation,Mindful practitioner identity,Daily meditation situation,Personal growth valued,ive meditating consistently two month initially difficult sit still even five minute maintain focus twenty minute feel much calmer throughout day,145,21,-0.016666666666666663,0.48333333333333334,Negative,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-24,0,0,0,0,0,0,0,['overgeneralization'],1
"""Every time I try to start a creative project, I compare my initial drafts to polished work I admire and feel completely inadequate. Why bother when I'll never be that good? I should stick to things I'm already competent at.""",shame,"social comparison, fortune telling",creative,Premature abandonment due to perfectionism,"Focus on process rather than outcome and set small, achievable creative goals",Creative development challenge,Decreased creative motivation,Negative creative self-perception,Creative avoidance pattern,Strong external comparison influence,Focus on perceived inadequacy,Selective recall of creative struggles,Diminished trust in creative potential,Similar past abandonments reinforcing negative belief,Creative decisions influenced by fear,Difficulty persisting through creative challenges,Creative identity undeveloped,Beginning creative work situation,Talent-oriented creative culture,every time try start creative project compare initial draft polished work admire feel completely inadequate bother ill never good stick thing im already competent,162,24,0.041666666666666664,0.611111111111111,Positive,1,0,0.0,0.5720637434340099,0.0,0.356912380864026,0.4404448146790859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5927604837171128,0.0,0.0,0.0,2024-01-25,1,0,0,0,0,2,0,"['overgeneralization', 'catastrophizing']",2
"""I finally completed my first half-marathon! Six months ago I couldn't run a mile without stopping. The training was tough, but crossing that finish line feeling strong was worth every early morning and sore muscle.""",joy,none,fitness,Recognition of significant achievement through consistent effort,Set new balanced fitness goal while maintaining sustainable practice,Clear athletic milestone,Achievement motivation,Positive physical self-perception,Consistent training routine,Supportive running community,Focused goal attention,Creation of significant achievement memory,Increased trust in physical capabilities,Learning from training process,Health-promoting decision-making,Successful physical adaptation,Runner identity established,Race completion situation,Personal achievement valued,finally completed first halfmarathon six month ago couldnt run mile without stopping training tough crossing finish line feeling strong worth every early morning sore muscle,173,25,0.11574074074074074,0.5499999999999999,Positive,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-26,0,0,0,0,0,2,0,['overgeneralization'],1
"""I'm worried about meeting my partner's family for the first time next weekend. What if they don't approve of me? What if I say something awkward? This whole relationship could be jeopardized if I make a bad impression.""",anxiety,"catastrophizing, fortune telling",relationship,Relationship anxiety magnified through catastrophic thinking,Prepare some neutral conversation topics while accepting some awkwardness as normal,Relationship development challenge,Acceptance motivation,Threat-focused social perception,Worry rumination about social situations,Perceived judgment from potential in-laws,Hyperfocus on potential social mistakes,,Relationship trust concerns,Similar anxiety in past relationship milestones,Social decisions influenced by anxiety,Difficulty managing relationship transitions,Partner identity insecurity,Family introduction situation,Family approval valued,im worried meeting partner family first time next weekend dont approve say something awkward whole relationship could jeopardized make bad impression,149,21,-0.16999999999999998,0.48,Negative,0,1,0.0,0.0,0.0,0.33532094367991216,0.0,0.0,0.0,0.0,0.0,0.6922046680892104,0.6390716409019566,0.0,0.0,0.0,0.0,0.0,2024-01-27,0,0,0,0,0,4,0,['none detected'],0
"""I caught myself stress eating again during this project deadline. Instead of continuing, I took a short walk and came back feeling more focused. Small choices like this are helping me develop healthier coping strategies.""",neutral,none,self-awareness,Recognition of pattern interruption and alternative coping,Plan specific alternative stress responses for common workplace triggers,Stress management improvement,Self-care motivation,Balanced stress perception,Improving stress response habit,Independent of workplace pressure,Improved recognition of stress patterns,,Increased trust in self-regulation,Learning from past stress responses,Improved wellbeing decision-making,Successful adaptation to workplace stress,Health-conscious identity,Work deadline situation,Self-care valued,caught stress eating project deadline instead continuing took short walk came back feeling focused small choice like helping develop healthier coping strategy,158,22,-0.08333333333333333,0.2333333333333333,Negative,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-28,0,0,0,0,0,3,0,['overgeneralization'],1
"""I'm devastated that my best friend is moving across the country. We've been inseparable for ten years, and I can't imagine life without our weekly coffee meetups. I'll never find another friendship like this again.""",sadness,"catastrophizing, all-or-nothing thinking",friendship,Appropriate grief with catastrophic elements about friendship change,Focus on maintaining connection through scheduled video calls while being open to new local friendships,Friendship transition period,Connection motivation,Negatively biased friendship prospects,Friendship investment pattern,Strong attachment to specific friend,Focus on anticipated loss,Selective focus on friendship highlights,Concern about maintaining distant trust,Similar past friendship transitions,Relationship decisions influenced by loss,Difficulty adapting to friendship changes,Friend identity threatened,Friend relocation situation,Close friendship valued,im devastated best friend moving across country weve inseparable ten year cant imagine life without weekly coffee meetups ill never find another friendship like,160,24,0.16666666666666666,0.43333333333333335,Positive,1,0,0.0,0.6285240596437911,0.6717031911812126,0.39213815091860615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-29,1,0,1,0,0,3,0,['catastrophizing'],1
